title,artist,lyrics
"Quero Te Encontrar","Kid Abelha","Quando você vem
Pra passar o fim de semana
Eu finjo que tá tudo bem
Mesmo dura ou com grana

Você ignora tudo que eu faço
Depois vai embora
Desatando os nossos laços

Quero te encontrar
Quero te amar
Você pra mim é tudo
Minha terra, meu céu, meu mar

Quando você vem
Pra passar o fim de semana
Eu finjo que tá tudo bem
Mesmo dura ou com grana

Você ignora tudo que eu faço
Depois vai embora

Quero te encontrar
Quero te amar
Você pra mim é tudo
Minha terra, meu céu, meu mar

Quero te encontrar
Quero te amar
Você pra mim é tudo
Minha terra, meu céu, meu mar

Meu mar, meu mar, meu mar
Minha terra, meu céu, meu mar"
"Evidências","Daniel","Quando eu digo que deixei de te amar
É porque eu te amo
Quando eu digo que não quero mais você
É porque eu te quero
Eu tenho medo de te dar meu coração
E confessar que eu estou em suas mãos
Mas não posso imaginar o que vai ser de mim
Se eu te perder um dia

Eu me afasto e me defendo de você
Mas depois me entrego
Faço tipo, falo coisas que eu não sou
Mas depois eu nego
Mas a verdade é que eu sou louco por você
E tenho medo de pensar em te perder
Eu preciso aceitar que não dá mais
Pra separar as nossas vidas
E nessa loucura de dizer que não te quero
Vou negando as aparências
Disfarçando as evidências
Mas pra que viver fingindo
Se eu não posso enganar meu coração
Eu sei que te amo

Chega de mentiras de negar o meu desejo
Eu te quero mais que tudo
Eu preciso do seu beijo
Eu entrego a minha vida
Pra você fazer o que quiser de mim
Só quero ouvir você dizer que sim

Diz que é verdade que tem saudade
Que ainda você pensa muito em mim
Diz que é verdade que tem saudade
Que ainda você quer viver pra mim

Eu me afasto e me defendo de você
Mas depois me entrego
Faço tipo, falo coisas que eu não sou
Mas depois eu nego
Mas a verdade é que eu sou louco por você
E tenho medo de pensar em te perder
Eu preciso aceitar que não dá mais
Pra separar as nossas vidas
E nessa loucura de dizer que não te quero
Vou negando as aparências
Disfarçando as evidências
Mas pra que viver mentindo
Se eu não posso enganar meu coração
Eu sei que te amo

Chega de mentiras de negar o meu desejo
Eu te quero mais que tudo
Eu preciso do seu beijo
Eu entrego a minha vida
Pra você fazer o que quiser de mim
Só quero ouvir você dizer que sim

Diz que é verdade que tem saudade
Que ainda você pensa muito em mim
Diz que é verdade que tem saudade
Que ainda você quer viver pra mim
Diz que é verdade que tem saudade
Que ainda você quer viver pra mim"
"A estrada","Cidade Negra","Você não sabe o quanto eu caminhei
Pra chegar até aqui
Percorri milhas e milhas antes de dormir
Eu nem cochilei
Os mais belos montes escalei
Nas noites escuras de frio chorei, ei, ei, ei
Ei, ei, ei, ei, ei, ei, ei

A vida ensina e o tempo traz o tom
Pra nascer uma canção
E com a fé do dia a dia encontro a solução
Encontro a solução

E quando bate a saudade eu vou pro mar
Fecho os meus olhos e sinto você chegar
Você chegar
Psicon! Psicon! Psicon! Psicon!

Quero acordar de manhã do teu lado
E aturar qualquer babado
Vou ficar apaixonado
No teu seio aconchegado
Ver você dormindo e sorrindo
É tudo que eu quero pra mim
Tudo que eu quero pra mim

Quero!
Quero acordar de manhã do teu lado
E aturar qualquer babado
Vou ficar apaixonado
No teu seio aconchegado
Ver você dormindo é tão lindo
É tudo que eu quero pra mim
Tudo que eu quero pra mim

Você não sabe o quanto eu caminhei
Pra chegar até aqui
Percorri milhas e milhas antes de dormir
Eu nem cochilei
Os mais belos montes escalei
Nas noites escuras de frio chorei, ei, ei, ei
Ei, ei, ei, ei, ei, ei, ei

Together, together

Meu caminho só meu pai pode mudar
Meu caminho só meu pai
Meu caminho só meu pai

Together, together

Meu caminho só meu pai pode mudar
Meu caminho só meu pai
Meu caminho só meu pai

Together, together"
"Homem Aranha","Jorge Vercillo","Eu adoro andar no abismo
Numa noite viril de perseguição
Saltando entre os edifícios
Vi você!

Em poder de um fugitivo
Que cercado pela polícia
Te fez refém
Lá nos precipícios
Foi paixão à primeira vista

Me joguei de onde o céu arranha
Te salvando com a minha teia
Prazer!
Me chamam de Homem-Aranha
Seu herói!

Hoje o herói aguenta o peso
Das compras do mês
No telhado, ajeitando
A antena da TV
Acordado a noite inteira
Pra ninar bebê

Chega de bandido pra prender
De bala perdida pra deter
Eu tenho uma ideia
Você na minha teia

Chega de assalto pra impedir
Seja em Brasília ou aqui
Eu tive a grande ideia
Você na minha teia

Hoje eu estou nas suas mãos
Nessa sua ingênua sedução
Que me pegou na veia
Eu tô na tua teia

Eu adoro andar no abismo
Numa noite viril de perseguição
Saltando entre os edifícios
Vi você!

Em poder de um fugitivo
Que cercado pela polícia
Te fez refém
Lá nos precipícios
Foi paixão à primeira vista

Me joguei de onde o céu arranha
Te salvando com a minha teia
Prazer!
Me chamam de Homem-Aranha
Seu herói!

Hoje o herói aguenta o peso
Das compras do mês
No telhado, ajeitando
A antena da tevê
Acordado a noite inteira
Pra ninar bebê

Chega de bandido pra prender
De bala perdida pra deter
Eu tenho uma ideia
Você na minha teia

Chega de assalto pra impedir
Seja em Brasília ou aqui
Eu tive a grande ideia
Você na minha teia

Hoje eu estou nas suas mãos
Nessa sua ingênua sedução
Que me pegou na veia
Eu tô na tua teia

Chega de bandido pra prender
De bala perdida pra deter
Eu tenho uma ideia
Você na minha teia

Tenho um grande golpe pra impedir
Seja em Brasília ou aqui
Eu tive a grande ideia
Você na minha teia

Hoje eu estou nas suas mãos
Nessa sua ingênua sedução
Que me pegou na veia
Eu tô na tua teia"
"Só por uma Noite","Charlie Brown Jr","Eu procurei em outros corpos encontrar você
Eu procurei um bom motivo pra não, pra não falar
Procurei me manter afastado
Mas você me conhece eu faço tudo errado, tudo errado

Fim de semana, eu sei lá, vou viajar
Vou me embalar, vou dar uma festa
Eu vou tocar um puteiro
Eu vou te esquecer, nem que for

Só por uma noite
Só por uma noite
Só por uma noite
Só por uma noite

Mas só de ouvir a sua voz
Eu já me sinto bem
Mas se é difícil pra você tudo bem
Muita gente se diverte com o que tem

Só de ouvir a sua voz
Eu já me sinto bem
Mas se é difícil pra você tudo bem
Quando a gente se diverte com o que tem

Se diverte com o que tem
Só por uma noite

Eu procurei abrir os olhos e enxergar você
Eu procurei um bom motivo pra não, pra não estar lá
Eu procurei me manter afastado
Mas você me conhece eu faço tudo errado, tudo errado

Fim de semana, eu sei lá vou viajar
Vou me embalar, vou dar uma festa
Eu vou tocar um puteiro
Eu vou te esquecer, nem que for

Só por uma noite
Só por uma noite
Só por uma noite
Só por uma noite

Mas só de ouvir a sua voz
Já me sinto bem
Mas se é difícil pra você tudo bem
Muita gente se diverte com o que tem

Só de ouvir a sua voz
Eu já me sinto bem
Mas se é difícil pra você tudo bem
Quando a gente se diverte com o que tem

Se diverte com o que tem
Só por uma noite"
"A Festa","Maria Rita","Já falei tantas vezes
Do verde nos teus olhos
Todos os sentimentos me tocam a alma
Alegria ou tristeza
Se espalhando no campo, no canto, no gesto
No sonho, na vida
Mas agora é o balanço
Essa dança nos toma
Esse som nos abraça, meu amor (você tem a mim)

O teu corpo moreno
Vai abrindo caminhos
Acelera meu peito,
Nem acredito no sonho que vejo
E seguimos dançando
Um balanço malandro
E tudo rodando
Parece que o mundo foi feito prá nós
Nesse som que nos toca

Me abraça, me aperta
Me prende em tuas pernas
Me prende, me força, me roda, me encanta
Me enfeita num beijo

Me abraça, me aperta
Me prende em tuas pernas
Me prende, me força, me roda, me encanta
Me enfeita num beijo

Pôr do sol e aurora
Norte, sul, leste, oeste
Lua, nuvens, estrelas
A banda toca
Parece magia
E é pura beleza
E essa música sente
E parece que a gente
Se enrola, corrente
E tão de repente você tem a mim

Me abraça, me aperta
Me prende em tuas pernas
Me prende, me força, me roda, me encanta
Me enfeita num beijo

Me abraça, me aperta
Me prende em tuas pernas
Me prende, me força, me roda, me encanta
Me enfeita num beijo

Já falei tantas vezes
Do verde nos teus olhos
Todos os sentimentos me tocam a alma
Alegria ou tristeza
Se espalhando no campo, no canto, no gesto
No sonho, na vida
Mas agora é o balanço
Essa dança nos toma
Você tem a mim"
"A Cada Dez Palavras","KLB","Faz tanto tempo
Que eu venho te seguindo
Conheço passo a passo
Todos os seus caminhos

Sei a hora que acorda
E a hora em que vai dormir
Sei tudo de você
E você nada sabe sobre mim

Eu descolei pra mim
O seu telefone
E te liguei mas eu não quis
Falar meu nome

Tive medo e quando ouvi a sua voz
Na hora desliguei
E confesso na verdade
Me faltou coragem pra dizer

Cada dez palavras que eu falo
Onze é você
Cada rosto que eu olho
Em todos vejo você

Ah ah ah

Tentei mil vezes
Te esquecer mas no fim
Mil vezes desejei você
Só pra mim

Eu dei um tempo
Uma hora um pouco mais
Até criar coragem
Pra te falar

Mas antes de ligar de novo
Quis tentar uma vez mais
E assim ter forças
Pra te encarar

Cada dez palavras que eu falo
Onze é você
Cada rosto que eu olho
Em todos vejo você (vejo você)

Tentei mil vezes te esquecer
Mas no fim (mas no fim)
Mil vezes desejei você
Só pra mim (só pra mim)

Cada dez palavras que eu falo
Onze é você (onze é você)
Cada rosto que eu olho
Em todos vejo você (vejo você)

Ah ah ah

Tentei mil vezes te esquecer
Mas no fim (mas no fim)
Mil vezes desejei você
Só pra mim

Ah ah ah

Cada dez palavras que eu falo
Onze é você (onze é você)
Cada rosto que eu olho
Em todos vejo você (vejo você)

Ah ah ah

Tentei mil vezes te esquecer
Mas no fim (mas no fim)
Mil vezes desejei
Você só pra mim

Mil vezes desejei
Você só pra mim"
"Não olhe assim","KLB","Tire seus olhos dos meus, eu não quero me apaixonar
Ficou em mim o adeus, que deixou esse medo de amar
Eu já amei uma vez e senti a força de uma paixão
A gente as vezes se entrega demais esquece de ouvir a razão

Não olhe assim não, você é linda demais
Tem tudo aquilo que um homem procura em uma mulher
Não olhe assim não, porque até sou capaz
De atender esse meu coração que só diz que te quer"
"Pago pra ver","Zeca Pagodinho","Pago pra ver você rogar a minha volta
Minha revolta tá na sua ingratidão
Quem deu amor, quem se entregou
Não merecia uma partida
Sem deixar explicação

Quando você chegou pra mim foi tanta jura
Tanta promessa desse amor jamais ter fim
Agora vejo, foi somente um desejo
Simplesmente um ensejo
Pra mais uma curtição

Enquanto eu
Que apostei todas as cartas
Nesse amor que me descarta
Só há dor, desilusão

Vou refazer minha vida
Mudar o meu telefone
Cicatrizar a ferida
Tirar o seu sobrenome
O que restou de nós dois
Vou apagar da lembrança
E não vou mais me entregar
Feito criança

Vou refazer minha vida
Mudar o meu telefone
Cicatrizar a ferida
Tirar o seu sobrenome
O que restou de nós dois
Vou apagar da lembrança
E não vou mais me entregar
Feito criança

Pago pra ver você rogar a minha volta
Minha revolta tá na sua ingratidão
Quem deu amor, quem se entregou
Não merecia uma partida
Sem deixar explicação

Quando você chegou pra mim foi tanta jura
Tanta promessa desse amor jamais ter fim
Agora vejo, foi somente um desejo
Simplesmente um ensejo
Pra mais uma curtição

Enquanto eu
Que apostei todas as cartas
Nesse amor que me descarta
Só há dor, desilusão

Vou refazer minha vida
Mudar o meu telefone
Cicatrizar a ferida
Tirar o seu sobrenome
O que restou de nós dois
Vou apagar da lembrança
E não vou mais me entregar
Feito criança

Vou refazer minha vida
Mudar o meu telefone
Cicatrizar a ferida
Tirar o seu sobrenome
O que restou de nós dois
Vou apagar da lembrança
E não vou mais me entregar
Feito criança"
"Amor E Sexo","Rita Lee","Amor é um livro
Sexo é esporte
Sexo é escolha
Amor é sorte

Amor é pensamento
Teorema
Amor é novela
Sexo é cinema

Sexo é imaginação
Fantasia
Amor é prosa
Sexo é poesia

O amor nos torna
Patéticos
Sexo é uma selva
De epiléticos

Amor é cristão
Sexo é pagão
Amor é latifúndio
Sexo é invasão

Amor é divino
Sexo é animal
Amor é bossa nova
Sexo é carnaval
Oh, oh, uh

Amor é para sempre
Sexo também
Sexo é do bom
Amor é do bem

Amor sem sexo
É amizade
Sexo sem amor
É vontade

Amor é um
Sexo é dois
Sexo antes
Amor depois

Sexo vem dos outros
E vai embora
Amor vem de nós
E demora

Amor é cristão
Sexo é pagão
Amor é latifúndio
Sexo é invasão

Amor é divino
Sexo é animal
Amor é bossa nova
Sexo é carnaval
Oh, oh, uh

Amor é isso
Sexo é aquilo
E coisa e tal
E tal e coisa
Uh, uh, uh
Ai, o amor
Hum, o sexo"
"Pra ser Feliz","Gustavo Lins","Quando a gente ficou
Nem tive tempo pra dizer
Quanto amor existia em mim
Vejo você

Como um sonho feliz
Como uma flor que se abriu
Como uma estrela que vai brilhar

Não deixe de lembrar daquela festa
Em que a gente tanto se amou
E quando a nossa música tocar
Me procure nos seus sonhos
Estarei por lá

Pra ser feliz
Pra ficar bem
Tem que sonhar
Amar alguém
Se envolver
De coração
Enlouquecer numa paixão"
"Nada é Por Acaso","Sandy & Junior","Já faz algum tempo
Que eu fui te declarar
A minha paixão
O desejo de te conquistar

Você me evitou
E nem ao menos quis tentar
E até disse não
Com medo de se entregar

Mas um sentimento
Quando é pra valer
Cedo ou tarde faz
O que era sonho acontecer

Agora eu sei, posso sentir
Que o seu amor já faz parte de mim

Tudo o que eu falei
De alguma forma te envolveu
Te enfeitiçou
De repente, você percebeu

Que nada é por acaso
E nem precisa ter razão

Você aceitou
Dar uma chance pro meu coração

Quando a gente ama
Vale a pena arriscar
Mais de mil caminhos
Pra poder se encontrar

Agora eu sei, posso sentir
Que o seu amor já faz parte de mim

Você vai descobrir o que é
amor de verdade
Sei que os meus olhos
vão te convencer
Que eu te amo além das palavras
Ah...como eu quero você

Mas um sentimento
Quando é pra valer
Cedo ou tarde faz
O que era sonho acontecer

Agora eu sei, posso sentir
Que o seu amor já faz parte de mim"
"Fullgás","Marina Lima","Meu mundo você é quem faz
Música, letra e dança
Tudo em você é full gás
Tudo você é quem lança
Lança mais e mais e

Só vou te contar um segredo
Não, nada
Nada de mal nos alcança
Pois tendo você meu brinquedo
Nada machuca, nem cansa

Então venha me dizer
O que será da minha vida, oh
Sem você

Noites de frio, dia não há
E um mundo estranho
Pra me segurar
Então onde quer que você vá
É lá, que eu vou estar
Amor esperto
Tão bom te amar

E tudo de lindo que eu faço
É, vem com você, vem feliz
Você me abre seus braços
E a gente faz um país
Você me abre seus braços
E a gente faz um país"
"Bum Bum Bum","Alexandre Pires","Amiga olha só como mudou a vida
Quem dera fosse só eu escrever poesia
E transformar o mundo em tudo o que eu queria

Eh...eh...oh...oh...

Será que nos romances, os seus escritores
Conhecem o amor ou são só inventores
Amiga às vezes penso se essa vida é minha

Você que de repente me chegou assim
Como se já soubesse o que encontrar em mim
Senti o seu abraço me envolver de corpo e alma

Ooooh...

Você que de repente sabe quem eu sou
Você que era dona de todo o amor
Que eu tanto procuro nos romances
Pela minha vida...como eu te esperava

Tão forte e docemente como a natureza
Você não sai de dentro da minha cabeça
Um golpe de amor dentro do coração
Que bum...bum...bum...bum
E de repente eu vi que já tinha cruzado
A linha que nos une em um pacto sagrado
E agora eu só escuto o seu coração
Dizendo bum...bum...bum...bum... bum.....bum

Quando você me beija e não fala nada
Eu fico imaginando mais uma jogada
Loucuras e desejos pela noite inteira

Ooooh

De repente tudo se descontrolava
Dois loucos...duas almas tão apaixonadas
No fundo já faz tempo que nos pertencemos

Você que de repente me chegou assim
Como se já soubesse o que encontrar em mim
Senti o seu abraço me envolver de corpo e alma

Você que de repente sabe quem eu sou
Você que era dona de todo meu amor
Que eu tanto procuro nos romances
Pela minha vida... como ... como eu te esperava

Tão forte e docemente como a natureza
Você não sai de dentro da minha cabeça
Um golpe de amor dentro do coração
Que bum...bum...bum...bum
E de repente eu vi que já tinha cruzado
A linha que nos une em um pacto sagrado
E agora eu só escuto o seu coração
Dizendo bum...bum...bum...bum.....bum...bum"
"Brincadeira tem hora","Leonardo","Vê se fala sério
Não invente brincadeiras com meu coração
Chega de história, de ficar fazendo hora
Não me deixe na mão

Tô afim de ter um compromisso
E você só afim de curtição
Enquanto você tá no meio da galera, eu tô na solidão

Quando eu digo que te amo
Você diz pra eu sair dessa
Quer ficar comigo e só ficar não me interessa

Quero tanto te amar e desvendar os seus segredos
Pare de ficar brincando
Eu não sou o seu brinquedo

A gente pode até brincar mas na hora de amar
Você tem que falar sério
Menina eu não sou de ferro
Deixa de pisar na bola

A gente pode até brincar, mas na hora de amar
Você tem que falar sério
Menina eu não sou de ferro
Pra fazer brincadeira tem hora

Quando eu digo que te amo
Você diz pra eu sair dessa
Quer ficar comigo e só ficar não me interessa

Quero tanto te amar e desvendar os seus segredos
Pare de ficar brincando
Eu não sou o seu brinquedo

A gente pode até brincar, mas na hora de amar
Você tem que falar sério
Menina eu não sou de ferro
Deixa de pisar na bola

A gente pode até brincar mas na hora de amar
Você tem que falar sério
Menina eu não sou de ferro
Pra fazer brincadeira tem hora

A gente pode até brincar, mas na hora de amar
Você tem que falar sério
Menina eu não sou de ferro
Deixa de pisar na bola

A gente pode até brincar, mas na hora de amar
Você tem que falar sério
Menina eu não sou de ferro
Pra fazer brincadeira tem hora"
"Deixa disso","Felipe Dylon","Foi numa segunda de verão
Que eu a vi pela primeira vez
Foi a sua primeira aparição
O bastante pra me convencer

A partir daquele dia então
Eu sempre tava lá
Na mesma hora
E no mesmo lugar

Só pra poder te encontrar
Só pra poder te encontrar

Sempre que sentava no sofá
Começava a imaginar
O que fazer
E onde você está

Eu contava
As horas pra te ver
Mas não respondia
Ao meu olhar

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Tô afim de você

Eu fico o dia inteiro
Só pensando em você
Na minha cama no chuveiro
Conto as horas pra te ver

Espero que um dia
Você possa me notar
Eu sou um cara maneiro
Vê se para de esnobar

Sempre que sentava no sofá
Começava a imaginar
O que fazer
E onde você está

Eu contava
As horas pra te ver
Mas não respondia
Ao meu olhar

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Tô afim de você

Sempre que sentava no sofá
Começava a imaginar
O que fazer
E onde você está

Eu contava
As horas pra te ver
Mas não respondia
Ao meu olhar

Yeah

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Ô menina deixa disso
Quero te conhecer
Vê se me dá uma chance
Tô afim de você

Tô afim de você
Tô afim de você
Tô afim de você
Tô afim de você
Tô afim de você
Tô afim de você
Tô afim de você
Tô afim de você"
"Sem Querer","Wanessa Camargo","Pisei na bola
Meu Deus, e agora? O que fazer?
Não sei o que dizer
Mas nunca é tarde
Não sou covarde, sei reconhecer
Que eu errei

Por favor
Pelo nosso amor

Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
O amor falou mais alto que a paixão
Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
O amor falou mais alto que a paixão

(Foi sem querer)

Pensa em tudo
É um absurdo terminar sem conversar
Não jogue fora
Não vá embora sem saber
Que eu amo você

Por favor
Pelo nosso amor

Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
O amor falou mais alto que a paixão
Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
O amor falou mais alto que a paixão

Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
O amor falou mais alto que a paixão
Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
Mais alto que a paixão

Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração
O amor falou mais alto que a paixão
Cê sabe que eu sou louca por você
Se eu te machuquei foi sem querer
Eu não quero perder seu coração

Foi sem querer"
"Tem Que Valer","Kaleidoscópio","Tem que valer, valer, viver
Tem que viver, viver, valer
Tem que valer, valer, viver
Tem que viver, viver, valer

Tem que viver, valer, viver
Tem que viver pra valer
Tem que viver, valer, viver
Tem que viver pra valer

Tudo começou
Janeiro verão Sol e praia
Do mar você me olhou
E procurou a mais perfeita onda

Que onda
Rolei na areia
E fiquei louca
Muito louca

Yeah yeah yeah

Você é tudo na minha vida
O grande amor
Eu quero ser sua menina

Você é tudo na minha vida
O grande amor
Estrela minha

Tem que viver, valer, viver
Tem que viver pra valer
Tem que viver, valer, viver
Tem que viver pra valer

Tem que viver, valer, viver
Tem que viver pra valer
Tem que viver, valer, viver
Tem que viver pra valer

Tudo começou
Janeiro verão Sol e praia
Do mar você me olhou
E procurou a mais perfeita onda

Que onda
Rolei na areia
E fiquei louca
Muito louca

Yeah yeah yeah

Você é tudo na minha vida
O grande amor
Eu quero ser sua menina

Você é tudo na minha vida
O grande amor
Estrela minha

Tem que viver, valer, viver
Tem que viver pra valer
Tem que viver, valer, viver
Tem que viver pra valer

Tem que valer, valer, viver
Tem que viver pra valer
A vida
Muito louca

Você é tudo na minha vida
O grande amor
Eu quero ser sua menina

Você é tudo na minha vida
O grande amor
Estrela minha"
"Já é","Lulu Santos","Sei lá
Tem dias que a gente olha pra si
E se pergunta se é mesmo isso aí
Que a gente achou que ia ser
Quando a gente crescer
E nossa história de repente ficou
Alguma coisa que alguém inventou
A gente não se reconhece ali
No oposto de um déjà vu

Sei lá
Tem tanta coisa que a gente não diz
E se pergunta se anda feliz
Com o rumo que a vida tomou
No trabalho e no amor
Se a gente é dono do próprio nariz
Ou o espelho é que se transformou
A gente não se reconhece ali
No oposto de um vis a vis

Por isso eu quero mais
Não dá pra ser depois
Do que ficou pra trás
Na hora que já é!"
"Um amor assim","Orlando Morais","É verdade, eu te espero
Eu te quero
Eu te juro e é tão sério
Que duvido
Que haja aqui ou em qualquer
Outro hemisfério
Um amor assim!...

Do jardim da nossa casa
Vejo a rua
Vejo as luzes se acendendo
Lentamente
Vejo a vida, vejo tudo
Transparente
E não vejo fim!
E não vejo fim!...

Eu te ensino a não me amar
Profundamente
O amor, às vezes mente
Eu te ensino a não sofrer
Completamente
Minha luz, minha nascente...

Nossas brigas, nossos beijos
Nossos dramas
Que transformam nossos mundos
Nossa cama
Ilumina o mais distante escuro
E acende aqui
E acende em mim
E acende em nós
Até ficarmos sós...(2x)"
"Lágrimas Demais","Ritchie","Lágrimas
Lágrimas

No seu mundo também bate o sol
Ouve só um segredo
Quantas vezes você foi feliz
Sem quebrar o brinquedo?
Vale a pena sonhar
Um dia azul, nós vamos voar
Conversas podem alterar
O seu enredo

Mais um dia se passou assim
Sem ter fim nem começo
Aproveite pra se reinventar
Navegar contra o vento
Vale a pena lembrar
Do velho tesouro no fundo do mar
Saltar sem medo, mergulhar
No pensamento

Olhar e ver
Ouvir dizer
As palavras perdidas sem talvez
Deixar você saber
Eu só te quero bem
Chega a hora de sorrir e seguir em paz
Já foram lágrimas demais
Lágrimas
Lágrimas demais

Belo dia pra se reencontrar
Reviver o passado
Sonhos loucos podem acordar
Com você ao meu lado
Deixa a vida levar
Aonde a sorte vai te alcançar
Não dá mais tempo pra pensar
Vai lá
Jogar os dados

Olhar e ver
Ouvir dizer
As palavras perdidas sem talvez
Deixar você saber
Eu só te quero bem
Chega a hora de sorrir e seguir em paz
Já foram lágrimas demais
Lágrimas
Lágrimas demais"
"Vicios e Virtudes","Charlie Brown Jr.","Nem tudo lhe cai bem
É um risco que se assume
O bom é não iludir ninguém

Nem tudo lhe cai bem
É um risco que se assume
O bom é não iludir ninguém
Às vezes faço o que quero
Às vezes faço o que tenho que fazer
Às vezes faço o que quero
Às vezes faço o que tenho que fazer

Eu nunca tive muito a ver com ela
O livro que ela ama eu não li
Eu nunca tive muito a ver com ela
O filme que ela adora eu não vi
Como chegar nela eu nem sei
Ela é tão interessante e eu aqui pichando muro
Como chegar nela eu nem sei
Ela é tão diferente e eu igual a todo mundo

Logo eu, que sempre achei legal ser tão errado
Eu que nem sempre calmo, mas nunca preocupado
Logo eu, que sempre achei legal ser tão errado
Eu que nem sempre calmo, mas nunca preocupado

Nem tudo lhe cai bem
É um risco que se assume
O bom é não iludir ninguém
Nem tudo lhe cai bem
É um risco que se assume
O bom é não iludir ninguém

Às vezes faço o que quero
E às vezes faço o que tenho que fazer
Às vezes faço o que quero
E às vezes faço o que tenho que fazer
Um dia eu volto pra fazer só a sua vontade, mas
Se eu não puder fazer você a pessoa mais feliz
Eu chego mais perto disso possível!

Todos os inconvenientes a nosso favor
E diferenças sim, mas
Nunca maiores que o nosso valor
Logo eu, que sempre achei legal ser tão errado
Eu que nem sempre calmo, mas nunca preocupado
Logo eu, que sempre achei legal ser tão errado
Eu, que nem sempre calmo, mas nunca preocupado

O tempo às vezes é alheio à nossa vontade, mas
Só o que é bom dura tempo
O bastante pra se tornar inesquecível
Qual será o defeito da fala se a tua boca me cala
Nós dois deitados na sala"
"O Mundo e de nós dois","Alcione","Esse nosso amor
É a perfeição é a união
Do lado erótico sentimental
O nosso amor
Nasce cada dia melhor
Quando eu entreguei
O meu coração não imaginei
Nem 10% da emoção
Que eu ia encontrar
Eu enlouqueci de paixão
E foi assim
Que achei o meu caminho junto de você
E mergulhei sem medo de me arrepender
Amei primeiro e fui pensar depois
Ah e foi assim
Que toda minha vida se modificou
Jamais fui tão feliz do jeito que eu estou
O mundo é de nós dois

Você e eu qualquer lugar é lindo
Eu só me lembro de você sorrindo
Eu não me canso de dizer
Bem-vindo o nosso amor
Mas sem você qualquer lugar é triste
Minha alegria diz que só existe
Pra você, em você, com você, só você é meu amor"
"Explosão","Tchakabum","Explosão TchacaBum
Com a dança do verão
Explosão muito quente
Quente feito um vulcão
Explosão nesse
Gingado caliente
Que tem cheiro de camim
Morena tão envolvente
Quero você só pra mim

Explosão TchacaBum
Com a dança do verão
Explosão muito quente
Quente feito um vulcão
Explosão nesse
Gingado caliente
Que tem cheiro de camim
Morena tão envolvente
Quero você
Mexendo todo esse corpo
Rebola quebrando formoso

Como uma cobra rebola
Rebola corpo de mola
O caldeirão fervendo
Vai entrar em erupção
Você vai ver
Daqui a pouco
O caldo vai ferver
Vai ferver vai ferver

Como uma cobra rebola
Rebola corpo de mola
O caldeirão fervendo
Vai entrar em erupção
Você vai ver
Daqui a pouco
O caldo vai ferver
Vai ferver vai ferver

Explosão TchacaBum
Com a dança do verão
Explosão muito quente
Quente feito um vulcão
Explosão nesse
Gingado caliente
Que tem cheiro de camim
Morena tão envolvente
Quero você só pra mim

Explosão TchacaBum
Com a dança do verão
Explosão muito quente
Quente feito um vulcão
Explosão nesse
Gingado caliente
Que tem cheiro de camim
Morena tão envolvente
Quero você só pra mim
Mexendo todo esse corpo
Rebola quebrando formoso

Como uma cobra rebola
Rebola corpo de mola
O caldeirão fervendo
Vai entrar em erupção
Você vai ver
Daqui a pouco
O caldo vai ferver
Vai ferver vai ferver

Como uma cobra rebola
Rebola corpo de mola
O caldeirão fervendo
Vai entrar em erupção
Você vai ver
Daqui a pouco
O caldo vai ferver
Vai ferver vai ferver

Explosão TchacaBum
Com a dança do verão
Explosão muito quente
Quente feito um vulcão
Explosão nesse
Gingado caliente
Que tem cheiro de camim
Morena tão envolvente
Quero você só pra mim

Explosão TchacaBum
Com a dança do verão
Explosão muito quente
Quente feito um vulcão
Explosão nesse
Gingado caliente
Que tem cheiro de camim
Morena tão envolvente
Quero você só pra mim
Mexendo todo esse corpo
Rebola quebrando formoso"
