title,artist,lyrics
"Lágrimas e Chuva","Kid Abelha","Eu perco o sono e choro
Sei que quase desespero
Mas não sei por quê
A noite é muito longa
Eu sou capaz de certas coisas
Que eu não quis fazer

Será que alguma coisa
Nisso tudo faz sentido?
A vida é sempre um risco
Eu tenho medo do perigo

Lágrimas e chuva
Molham o vidro da janela
Mas ninguém me vê
O mundo é muito injusto
Eu dou plantão nos meus problemas
Que eu quero esquecer

Será que existe alguém
Ou algum motivo importante
Que justifique a vida
Ou pelo menos este instante

Eu vou contando as horas
E fico ouvindo passos
Quem sabe o fim da história
De mil e uma noites
De suspense no meu quarto

Eu vou contando as horas
E fico ouvindo passos
Quem sabe o fim da história
De mil e uma noites
De suspense no meu quarto

Lágrimas e chuva
Molham o vidro da janela
Mas ninguém me vê
O mundo é muito injusto
Eu dou plantão nos meus problemas
Que eu quero esquecer

Será que existe alguém
Ou algum motivo importante
Que justifique a vida
Ou pelo menos este instante

Eu vou contando as horas
E fico ouvindo passos
Quem sabe o fim da história
De mil e uma noites
De suspense no meu quarto

Eu vou contando as horas
E fico ouvindo passos
Quem sabe o fim da história
De mil e uma noites
De suspense no meu quarto

Eu vou contando as horas
E fico ouvindo passos
Quem sabe o fim da história
De mil e uma noites
De suspense no meu quarto

Eu vou contando as horas
E fico ouvindo passos"
"Vem me amar","Alexandre Pires","Vem aqui, doce amor
Me ajuda a mudar esse destino
Salva-me, por favor
Que eu tenho o coração
Partido em dois...

Me dê mais, quero mais
Desse sabor inédito e perfeito
Só você me fará
Perder o medo de me entregar...

Vem me amar
Esquece o mundo e vem me amar
Eu quero me queimar no seu calor
Liberte essa paixão
Não tenha medo não
Vem me amar
Agora e sempre, vem me amar
Meu mundo obedece o coração
Não queira entender de solidão...

Com você sedução
Entrego pouco a pouco
Os meus sentidos
Não tem como escapar
Porque seremos sempre atraídos
Eu serei sempre assim
Exagerado digam o que digam
Renda-se, meu amor
As lábias do meu canto sedutor...

Vem me amar
Esquece o mundo e vem me amar
Eu quero me queimar no seu calor
Liberte essa paixão
Não tenha medo não
Vem me amar
Agora e sempre, vem me amar
Meu mundo obedece o coração
Não queira entender de solidão...(3x)

Vem me amar!
Vem me amar!..."
"Cai fora","Babado Novo","Eu não quero te prender
Diga aonde você vai amor
Que pena, que pena

Eu fiz tudo por você
Você nem me deu valor, amor
Que pena

Agora quando eu passo você quer me dar um beijo
Vive dizendo que eu sou sua mina
Sai pra lá
Hoje eu sou mulher e não sou mais menina

Agora quando eu passo você quer me dar um beijo
Vive dizendo que eu sou sua mina
Sai pra lá
Hoje eu sou mulher e não sou mais menina

Agora eu tô gatinha e você quer me conquistar
Mas eu tô no ponto e você passou da hora
Que pena amor, cai fora
Que pena amor, cai fora

Pererê, pererê, pererê, oba
Pererê, pererê, pererê
Pererê, pererê, pererê
Cai fora

Pererê, pererê, pererê, oba
Pererê, pererê, pererê
Pererê, pererê, pererê
Cai fora"
"Opções","Os Mulekes","Eu te quero por inteiro
Agora vai ser do meu jeito
Acabou a brincadeira , ou então...não quero mais
Eu estou falando sério
Pro bem dos nossos corações
Agora não tem mais mistério
São só duas opções:

Opção 1,
Você resolve se entregar de coração
De corpo e alma sem ter medo da paixão
E vem com tudo acreditando que vai ser feliz!

Opção 2,
Você desiste antes mesmo de tentar
Não dá uma chance pra alguém te completar
E deixa tudo pra depois!

(Refrão)
Vamos lá ,vamos decidir
Minha opção já tá pra lá de escolhida
Vamos lá ,vamos decidir
Ou abre a porta ou byebye de despedida
Vamos lá ,vamos decidir
Quem beija assim é porque quer e porque gosta
Vamos lá , vamos decidir
Tô anciosa esperando uma resposta!

Opção 1..."
"De volta pra mim","Vanessa Jackson","Hoje eu vi você
E meu deu saudade, amor
Não era pra ser assim
Lembro de nós dois
E o que eu mais queria, amor
Só era encontrar você
E eu já nem lembro mais
Como foi que acabou
Tudo que aconteceu
Já ficou pra trás
E hoje eu quero ter você
Agora, aqui

REFRÃO:
Eu sei, preciso te dizer
Eu quero ter você
Comigo, agora
Eu sei, não vou mais te perder
Eu quero ter você
De volta pra mim

Quando te encontrei
Não imaginava amor
Que eu ia sentir tanto assim
Logo que eu te vi
O meu coraçao falou
Você vai voltar pra mim
E agora que passou
Não vou mais olhar pra trás
Nem vou tentar entender
Pode acreditar
Hoje eu quero ter você
Agora, aqui

REFRÃO
Amor...

E agora que passou
Não vou mais olhar pra trás
Nem vou tentar entender
Pode acreditar
Hoje eu quero ter você
Agora, aqui

REFRÃO"
"Prometida","Br’oZ","Esse beijo da tua boca tem sabor de fruta fresca
O toque dos teus lábios não sai da minha cabeça
Esse beijo com que sonho quando a brisa me refresca
Que me leva até o céu e à terra me regressa
Minha alma reza e reza, mas sei que não tenho cura
A lembrança do teu beijo quase me leva à loucura

Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo
Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo

Você é minha prometida, a menina dos meus olhos
Quem me adoça a vida, quem afugenta meus medos
A mais linda das mulheres, a mais bela dentre as flores
A fortuna que eu espero num arco-íris de cores

Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo
Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo

E que digam nos jornais que eu te quero de verdade
Nas rádios, na novela e em toda parte da cidade
Vai estar num outdoor, como você não há nenhuma
Que digam em toda China, que digam até na Lua

Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo
Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo

Guararé, guararé, guararé, guararé, guararé
Guararé, guararé, nunca esqueça que eu não te esquecerei

Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo
Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo

Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo
Sim, sim, sim
Esse amor é tão profundo
Você é minha prometida, eu vou gritar pra todo o mundo"
"Só dessa vez","KLB","Não consigo aceitar
Por que não você e eu?
Eu não quero mais ficar
Procurando em seu olhar
O motivo desse adeus

Eu deixei meu coração
Por você se apaixonar
No seu beijo me prendi
No seu corpo aprendi
Como é bom se entregar

Só dessa vez, olha pra mim
Só dessa vez, me diz que sim

Acreditei no amor
Quando você me falou
Que foi tão bom me encontrar
E sem nenhuma razão
Fecha o seu coração
E diz que agora não dá, não dá

Só dessa vez, olha pra mim
Só dessa vez, diz quem sim!"
"Alô","Os Travessos","Alô
Tem alguém ligado aí
Na rádio a me ouvir
Se houver me dê um sinal
Alô
Procura-se alguém
Que queira ser meu bem
Se houver me dê um sinal

Mais um ano que passei
Tanto tempo eu esperei
Pra falar de sentimento
Resolvi nesse momento
Fazer loucura pra tentar
Achar alguém em algum lugar
Que seja tudo o que eu quero
Que venha pra ficar
Que goste de andar de mãos dadas sorrindo nas ruas
E pra me acalmar doces beijos molhados de chuva

Alô
Tem alguém ligado ai
Na rádio a me ouvir
Se houver me dê um sinal
Alô
Procura se alguém
Que queira ser meu bem
Se houver me dê um sinal

Mande um sinal
Que de repente possa ser você
Mande um sinal
(Aaaaaaalôôô)
Mande um sinal
Que eu tô doidinho pra encontrar com você
Mande um sinal

Alô
Tem alguém ligado ai
Na rádio a me ouvir
Se houver me dê um sinal
Alô
Procura se alguém
Que queira ser meu bem
Se houver me dê um sinal

Alô, alô, alô, alô
Tem alguém ligado aí
Tem?
Se houver me dê um sinal
Alôôô... Oh oh oh.... oh oh oh...
Se houver me dê um sinal

Alô oh oh oh oh oh
(Tem alguém ligado aí)
Tem alguém ligado aí
Se houver...
Se houver me dê um sinal

Alô
Se houver me dê um sinal"
"Egüinha Pocotó","MC Serginho","Vou mandando um beijinho
Pra filhinha e pra vovó
Só não posso esquecer
Da minha egüinha Pocotó

Pocotó pocotó pocotó pocotó
Minha egüinha pocotó

O jumento e o cavalinho
Eles nunca andam só
Quando sai pra passear
Levam a égua Pocotó

Pocotó pocotó pocotó pocotó
Minha egüinha Pocotó"
"A Luz Que Acende O Olhar","Deborah Blando","A luz que acende o olhar
Vem das estrelas no meu coração
Vem de uma força que me fez assim
Vem das palavras, lembranças
E flores regadas em mim

O tempo pode mudar
A chuva lava o que já passou
Resta somente o que eu já vivi
Resta somente o que ainda sou

A luz que acende o olhar
Vem pelos cantos da imaginação
Vem por caminhos que eu nunca passei
Como se a vida soubesse de sonhos
Que eu nunca sonhei

Vem do infinito, da estrela cadente
Do espelho da alma
Dos filhos da gente
De algum lugar
Só pra iluminar

A força vem de onde eu venho
De tudo que acende e a vida calada
Me olha, e entende o que eu sou
Tudo o que é maior
Vem do amor, vem do amor

A luz que acende o olhar
Vem dos romances que viram poesia
Vem quando quer, se quiser, se vier
Vem pra acender e mostrar o amor
Que a gente não via

Vem como um passe de pura magia
Como se eu visse e jurasse
Que há tempo já te conhecia

Vem do infinito, da estrela cadente
Do espelho da alma
Dos filhos da gente
De algum lugar
Só pra iluminar

A força vem de onde eu venho
De tudo que acende e a vida calada
Me olha e entende o que eu sou
Tudo que é maior

Vem da luz que acende o olhar
Vem das histórias que me adormeciam
Vem do que a gente não consegue ver
Vem e me acalma, me traz e me leva
Pra perto de você
E me leva mais pra perto de você"
